Cars,Model,Dist,Fuel,Transmission,Registration,EMI,Price,Sale City,Unnamed: 0
2013 Honda Amaze, 1.2L I-VTEC VX,"58,976 km",Petrol,Manual,HR-03,"EMI ₹9,885/m*",₹2.42L₹2.10 lakh+ other charges,Chandigarh,
2022 Skoda KUSHAQ, AMBITION 1.0L TSI MT,"65,634 km",Petrol,Manual,PB-03,"EMI ₹13,045/m*",₹7.54L₹7.39 lakh+ other charges,Chandigarh,
2021 Tata ALTROZ, XM PLUS DIESEL,"80,846 km",Diesel,Manual,PB-10,"EMI ₹7,209/m*",₹5.24L₹4.08 lakh+ other charges,Chandigarh,
2022 KIA SELTOS, HTK PLUS 1.5 DIESEL,"74,491 km",Diesel,Manual,PB-02,"EMI ₹15,787/m*",₹9.52L₹9.22 lakh+ other charges,Chandigarh,
2022 Hyundai GRAND I10 NIOS, ASTA AMT 1.2 KAPPA VTVT,"5,189 km",Petrol,Auto,PB-65,"EMI ₹10,069/m*",₹6.00L₹5.70 lakh+ other charges,Chandigarh,
2018 Hyundai Tucson, GLS 4WD AT DIESEL,"1,28,073 km",Diesel,Auto,PB-10,"EMI ₹21,242/m*",₹12.02L₹9.77 lakh+ other charges,Chandigarh,
2022 Volkswagen TAIGUN, HIGHLINE 1.0 TSI MT,"42,419 km",Petrol,Manual,PB-02,"EMI ₹12,763/m*",₹8.28L₹7.23 lakh+ other charges,Chandigarh,
2018 Hyundai Creta, SX AT 1.6 DIESEL,"95,188 km",Diesel,Auto,HR-03,"EMI ₹16,541/m*",₹8.69 lakh,Chandigarh,
2019 Maruti S PRESSO, VXI+,"1,35,640 km",Petrol,Manual,PB-13,"EMI ₹6,228/m*",₹2.80 lakh,Chandigarh,
2019 Maruti Swift, VXI,"67,721 km",Petrol,Manual,HR-12,"EMI ₹7,238/m*",₹4.10 lakh,Chandigarh,
2016 Hyundai Grand i10, MAGNA AT 1.2 KAPPA VTVT,"39,393 km",Petrol,Auto,DL-10,"EMI ₹4,671/m*",₹2.20L₹2.10 lakh,Chandigarh,
2011 Hyundai Santa Fe, 4 WD,"1,44,523 km",Diesel,Manual,PB-12,Not available on EMI,₹2.37 lakh,Chandigarh,
2023 Tata ALTROZ, XZ PETROL,"45,649 km",Petrol,Manual,HR-05,"EMI ₹10,592/m*",₹6.18L₹6.00 lakh,Chandigarh,
2015 Tata Indigo ECS, LX TDI,"1,26,239 km",Diesel,Manual,PB-10,"EMI ₹4,617/m*",₹1.39 lakh,Chandigarh,
2017 Tata NEXON, XZ PLUS PETROL,"81,729 km",Petrol,Manual,PB-65,"EMI ₹10,362/m*",₹5.30 lakh,Chandigarh,
2016 Hyundai Elite i20, SPORTZ 1.4 CRDI,"1,63,865 km",Diesel,Manual,UP-15,"EMI ₹8,163/m*",₹3.10 lakh,Chandigarh,
